xrays,masks
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/32.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/32.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/33.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/33.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/34.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/34.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/35.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/35.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/36.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/36.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/37.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/37.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/38.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/38.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/39.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/39.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/4.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/4.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/40.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/40.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/41.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/41.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/42.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/42.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/43.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/43.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/44.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/44.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/45.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/45.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/46.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/46.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/47.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/47.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/48.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/48.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/49.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/49.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/5.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/5.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/50.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/50.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/51.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/51.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/52.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/52.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/53.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/53.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/54.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/54.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/55.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/55.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/56.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/56.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/57.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/57.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/58.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/58.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/59.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/59.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/6.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/6.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/60.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/60.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/61.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/61.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/62.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/62.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/63.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/63.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/64.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/64.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/65.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/65.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/66.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/66.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/67.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/67.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/68.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/68.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/69.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/69.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/7.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/7.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/70.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/70.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/71.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/71.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/72.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/72.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/73.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/73.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/74.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/74.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/75.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/75.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/76.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/76.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/77.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/77.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/78.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/78.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/79.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/79.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/8.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/8.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/80.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/80.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/81.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/81.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/82.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/82.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/83.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/83.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/84.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/84.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/85.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/85.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/86.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/86.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/87.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/87.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/88.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/88.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/89.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/89.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/9.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/9.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/90.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/90.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/91.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/91.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/92.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/92.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/93.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/93.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/94.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/94.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/95.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/95.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/96.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/96.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/97.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/97.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/98.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/98.png
C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/xrays/99.png,C:/Users/sakun/Desktop/Autumn 2025 New samk courses/Macine vision CNN/Original Bone segmentation project/bone segmentation/data/masks/99.png
